ContentDatabase,SetupFileDirName,SetupFileExtension,SetupFileId,SetupFileName,SetupFilePath,SiteCollection,UpgradeStatus,WebApplication,WebUrl
Portal_Content_01,https://intranet.poc.com/sites/testv/_catalogs/masterpage,aspx,ba254654-0c63-472f-a12f-992e0b29c1cc,HRCareerArticle.aspx,Features\Aviva.OneIntranet.PageLayouts\Layouts\HRCareerArticle.aspx,https://intranet.poc.com/sites/testv,False,https://intranet.poc.com/,https://intranet.poc.com/sites/testv
Portal_Content_01,https://intranet.poc.com/sites/testv/_catalogs/masterpage,aspx,d64e8bcd-9aee-4098-9186-b4930964e4f1,ArticlePageSimple.aspx,Features\Aviva.OneIntranet.PageLayouts\Layouts\ArticlePageSimple.aspx,https://intranet.poc.com/sites/testv,False,https://intranet.poc.com/,https://intranet.poc.com/sites/testv
Portal_Content_01,https://intranet.poc.com/sites/TMaster2publishing/_catalogs/masterpage,aspx,05cc48de-18f2-4d5c-9ca5-3a02cc80145f,LeadershipBlogPost.aspx,Features\Aviva.OneIntranet.PageLayouts\Layouts\LeadershipBlogPost.aspx,https://intranet.poc.com/sites/TMaster2publishing,False,https://intranet.poc.com/,https://intranet.poc.com/sites/TMaster2publishing
Portal_Content_01,https://intranet.poc.com/sites/TMaster2publishing/_catalogs/masterpage,aspx,52ba6cbf-fdb3-43ca-858e-6a2b48227e62,AvivaFlexibleArticle.aspx,Features\Aviva.OneIntranet.PageLayouts\Layouts\AvivaFlexibleArticle.aspx,https://intranet.poc.com/sites/TMaster2publishing,False,https://intranet.poc.com/,https://intranet.poc.com/sites/TMaster2publishing
Portal_Content_01,https://intranet.poc.com/sites/TMaster2publishing/_catalogs/masterpage,aspx,32fe4d31-42a1-448d-b010-976b8ac0eb00,ArticlePageSimple.aspx,Features\Aviva.OneIntranet.PageLayouts\Layouts\ArticlePageSimple.aspx,https://intranet.poc.com/sites/TMaster2publishing,False,https://intranet.poc.com/,https://intranet.poc.com/sites/TMaster2publishing
Portal_Content_01,https://intranet.poc.com/sites/TMaster2publishing/_catalogs/masterpage,aspx,a35f0cdc-3bf9-459f-b47d-a6b6df740a74,ArticlePageFull.aspx,Features\Aviva.OneIntranet.PageLayouts\Layouts\ArticlePageFull.aspx,https://intranet.poc.com/sites/TMaster2publishing,False,https://intranet.poc.com/,https://intranet.poc.com/sites/TMaster2publishing
Portal_Content_01,https://intranet.poc.com/sites/TMaster2publishing/_catalogs/masterpage,aspx,4da6990d-6078-4dfa-8092-a7661882c98a,Help.aspx,Features\Aviva.OneIntranet.PageLayouts\Layouts\Help.aspx,https://intranet.poc.com/sites/TMaster2publishing,False,https://intranet.poc.com/,https://intranet.poc.com/sites/TMaster2publishing
Portal_Content_01,https://intranet.poc.com/sites/TMaster2publishing/_catalogs/masterpage,aspx,98e46346-13cc-4b3f-ba04-aaf05ba2362c,Landing.aspx,Features\Aviva.OneIntranet.PageLayouts\Layouts\Landing.aspx,https://intranet.poc.com/sites/TMaster2publishing,False,https://intranet.poc.com/,https://intranet.poc.com/sites/TMaster2publishing
Portal_Content_01,https://intranet.poc.com/sites/Publishing/_catalogs/masterpage,aspx,066053e6-b423-43df-8f06-0b6559f90d46,ArticlePageSimple.aspx,Features\Aviva.OneIntranet.PageLayouts\Layouts\ArticlePageSimple.aspx,https://intranet.poc.com/sites/Publishing,False,https://intranet.poc.com/,https://intranet.poc.com/sites/Publishing
Portal_Content_01,https://intranet.poc.com/sites/Publishing/_catalogs/masterpage,aspx,392c57f9-2d31-4bff-b69e-26feb64eebdd,Help.aspx,Features\Aviva.OneIntranet.PageLayouts\Layouts\Help.aspx,https://intranet.poc.com/sites/Publishing,False,https://intranet.poc.com/,https://intranet.poc.com/sites/Publishing
