ContentDatabase,DeleteTransactionId,Description,FeatureId,ListCreatedDate,ListId,ListTemplateName,ListTitle,ServerTemplate,SiteCollection,SolutionId,SolutionName,WebApplication,WebUrl
Portal_Content_01,0x,,c2f9c992-99b0-4ee7-8e48-5d9949e77d3d,9/3/2015 9:18:13 AM,1fb37a71-52aa-4037-af35-62cc8595b292,Contoso Library,TestingContoso,10003,https://intranet.poc.com/sites/ConstosoTemplate1,N/A,contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/ConstosoTemplate1
Portal_Content_01,0x,Contoso Library Instance,c2f9c992-99b0-4ee7-8e48-5d9949e77d3d,3/23/2015 8:07:51 PM,8fb4cc06-8444-467f-845c-9944ccb1c76b,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/ConstosoTemplate1,N/A,contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/ConstosoTemplate1
Portal_Content_01,0x,Contoso Library Instance,c2f9c992-99b0-4ee7-8e48-5d9949e77d3d,10/13/2014 11:56:00 PM,4e42178f-f535-4805-af92-1d307ed991f4,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/TestTeamSiteParent2,N/A,contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/TestTeamSiteParent2
Portal_Content_01,0x,Contoso Library Instance,c2f9c992-99b0-4ee7-8e48-5d9949e77d3d,3/20/2015 6:05:05 PM,54f0fa9c-b953-44a2-8533-0230309ef1d1,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/SudhaContosoTeamSite,N/A,contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/SudhaContosoTeamSite
Portal_Content_01,0x,Contoso Library Instance,c2f9c992-99b0-4ee7-8e48-5d9949e77d3d,6/9/2015 7:11:22 AM,8fcd3431-bbe8-44d2-bf8c-40e4470377ee,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/TestContosoTeamSite,N/A,contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/TestContosoTeamSite/TestChildPubSIte
Portal_Content_01,0x,Contoso Library Instance,c2f9c992-99b0-4ee7-8e48-5d9949e77d3d,7/29/2015 9:55:23 PM,8436e168-6f21-4184-beb1-4911d10f3771,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/TestAccesntureWebPartIssue,N/A,contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/TestAccesntureWebPartIssue
Portal_Content_01,0x,Contoso Library Instance,c2f9c992-99b0-4ee7-8e48-5d9949e77d3d,10/20/2015 5:18:09 PM,6673e767-fa37-4f44-9179-90751d3a436d,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/TestAccesntureWebPartIssue,N/A,contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/TestAccesntureWebPartIssue/subsite
Portal_Content_01,0x,Contoso Library Instance,c2f9c992-99b0-4ee7-8e48-5d9949e77d3d,8/19/2015 10:56:24 PM,97a57a68-77ef-4b22-a791-117bea747155,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/TestSiteColumnRemoval,N/A,contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/TestSiteColumnRemoval
Portal_Content_01,0x,Contoso Library Instance,c2f9c992-99b0-4ee7-8e48-5d9949e77d3d,3/10/2015 7:27:52 PM,199950ed-b897-4338-a4a2-4315402874d1,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/TestUnghostToolsForTransformationTool,N/A,contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/TestUnghostToolsForTransformationTool
Portal_Content_01,0x,Contoso Library Instance,c2f9c992-99b0-4ee7-8e48-5d9949e77d3d,7/31/2015 10:49:09 PM,d11ab179-c9b1-4424-b0e9-46014d57cd87,Contoso Library,ContosoLibrary,10003,https://intranet.poc.com/sites/AccentureTransformationTesting,N/A,contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/AccentureTransformationTesting
