ContentDatabase,DeleteTransactionId,SiteCollection,SiteTemplateGalleryPath,SiteTemplateID,SiteTemplateName,WebApplication,WebUrl
Portal_Content_01,0x,https://intranet.poc.com/sites/SudhaTeam2,sites/SudhaTeam2/_catalogs/solutions,791d5f83-dfcb-403e-a59b-41f98d3ff525,CTSiteTemplateSudhaTeam2.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/SudhaTeam2
Portal_Content_01,0x,https://intranet.poc.com/sites/SudhaTeam2,sites/SudhaTeam2/_catalogs/solutions,780ce750-4b16-41dd-964f-e3c3dfafb4be,SudhaTestingSiteTemplate.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/SudhaTeam2
Portal_Content_01,0x,https://intranet.poc.com/sites/DiscoveryTool,sites/DiscoveryTool/_catalogs/solutions,0dcd5145-44b4-4f34-874f-16827bdf5dd8,gud.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/DiscoveryTool
Portal_Content_01,0x,https://intranet.poc.com/sites/DiscoveryTool,sites/DiscoveryTool/_catalogs/solutions,7028b688-183b-410f-a91a-f2c983e64d5b,SITTEMP1.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/DiscoveryTool
Portal_Content_01,0x,https://intranet.poc.com/sites/DiscoveryTool,sites/DiscoveryTool/_catalogs/solutions,da1eab1a-d198-4c46-bd45-2e5c39058637,TSR1.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/DiscoveryTool
Portal_Content_01,0x,https://intranet.poc.com/sites/DiscoveryTool,sites/DiscoveryTool/_catalogs/solutions,e9a99237-112a-4739-99bd-bd59e422b344,tvs.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/DiscoveryTool
Portal_Content_01,0x,https://intranet.poc.com/sites/div,sites/div/_catalogs/solutions,aa17b674-5fea-4e5f-b6d4-436be31745ee,divCTSiteTemplate.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/div
Portal_Content_01,0x,https://intranet.poc.com/sites/delSite2,sites/delSite2/_catalogs/solutions,2ed60a9f-3654-408b-90ea-4615c57902a5,STTestOne.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/delSite2
Portal_Content_01,0x,https://intranet.poc.com/sites/TestContosoTeamSite,sites/TestContosoTeamSite/_catalogs/solutions,67d3e954-1977-4033-86b2-3f309e25212a,Project Site Template v2.1.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/TestContosoTeamSite
Portal_Content_01,0x,https://intranet.poc.com/sites/vidhiTest10,sites/vidhiTest10/_catalogs/solutions,140923c5-c6b7-44a6-9a06-e19082906569,STTestFour.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/vidhiTest10
Portal_Content_01,0x,https://intranet.poc.com/sites/vidhiTest10,sites/vidhiTest10/_catalogs/solutions,1233ab2a-f005-4cc6-b7db-a63ab2fa4628,vidhiTest10CTSiteTemplate.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/vidhiTest10
Portal_Content_01,0x,https://intranet.poc.com/sites/HariCT1,sites/HariCT1/_catalogs/solutions,1e041a8a-0854-4dcb-9ba2-263188f174a4,st_HariCT1.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/HariCT1
Portal_Content_01,0x,https://intranet.poc.com/sites/testSite,sites/testSite/_catalogs/solutions,ae6b8a3a-9d42-4f07-8ad5-cfe8d1430f0f,CTSiteTemplate.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/testSite
Portal_Content_01,0x,https://intranet.poc.com/sites/testSite,sites/testSite/_catalogs/solutions,f002e7ef-697e-4a5a-aeee-f9365b65d25a,STTestFive.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/testSite
Portal_Content_02,0x,https://intranet.poc.com/sites/PriyaTestSC1,sites/PriyaTestSC1/_catalogs/solutions,192c3678-6bfc-418d-b3a8-304af5763c52,ChildSiteSavedAsTemplate.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/PriyaTestSC1
Portal_Content_02,0x,https://intranet.poc.com/sites/PriyaTestSC1,sites/PriyaTestSC1/_catalogs/solutions,b0a95bc2-a762-488d-869f-dc0774ac8e85,ChildSiteTemplate2.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/PriyaTestSC1
Portal_Content_02,0x,https://intranet.poc.com/sites/PriyaTestSC1,sites/PriyaTestSC1/_catalogs/solutions,f6992757-b26e-4e76-a34f-53700264e147,RootSiteSavedAsTemplate.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/PriyaTestSC1
Portal_Content_02,0x,https://intranet.poc.com/sites/PriyaTestSC1,sites/PriyaTestSC1/_catalogs/solutions,2967fed1-477d-4cc1-a9f9-5912e8bbede4,SaveSiteTmplte.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/PriyaTestSC1
Portal_Content_02,0x,https://intranet.poc.com/sites/PriyaTestSC1,sites/PriyaTestSC1/_catalogs/solutions,8d63f3dd-bbaf-4ee5-8181-9a2032aa87de,SiteTemplateforSB.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/PriyaTestSC1
Portal_Content_02,0x,https://intranet.poc.com/sites/PriyaTestSC1,sites/PriyaTestSC1/_catalogs/solutions,b5d7b275-3086-49d2-bf9a-ee3df1eb7823,SiteTemplateforSB2.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/PriyaTestSC1
Portal_Content_02,0x,https://intranet.poc.com/sites/PriyaTestSC1,sites/PriyaTestSC1/_catalogs/solutions,deb4eba1-0df9-4293-8048-6e305fabd977,SiteTemplteProj.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/PriyaTestSC1
Portal_Content_02,0x,https://intranet.poc.com/sites/PriyaTestSiteTemplate,sites/PriyaTestSiteTemplate/_catalogs/solutions,5713c4fc-26dc-49a1-bb08-806aaea44d84,lt_PriyaTest.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/PriyaTestSiteTemplate
Portal_Content_02,0x,https://intranet.poc.com/sites/PriyaTestSiteTemplate,sites/PriyaTestSiteTemplate/_catalogs/solutions,a656f82e-e154-49a0-9d90-22bcc056cc7f,PriyaTestSiteTmplte.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/PriyaTestSiteTemplate
Portal_Content_02,0x,https://intranet.poc.com/sites/PriyaTestSiteTemplate,sites/PriyaTestSiteTemplate/_catalogs/solutions,87ca16ee-9147-4694-aff7-59b593e304ab,st_PriyaTestSiteTemplate.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/PriyaTestSiteTemplate
Portal_Content_02,0x,https://intranet.poc.com/sites/PriyaTestSiteTemplate,sites/PriyaTestSiteTemplate/_catalogs/solutions,371de68f-bcde-401c-aba6-33053de0d394,st_PriyaTestSiteTemplate2.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/PriyaTestSiteTemplate
