FeatureID,FeatureName,ID,Name,Type,Description,SolutionName
D7EA8042-5EBD-46f5-AFCA-E2B792CF4953,Aviva Publishing Page Layouts Feature,{56017620-8499-44f7-b3af-6beba4b0b80c},Polish_x0020_Translation,Choice,,aviva.oneintranet.solution.web.wsp
D7EA8042-5EBD-46f5-AFCA-E2B792CF4953,Aviva Publishing Page Layouts Feature,{224882a5-a980-4a39-9eb6-dfc83a975a78},Italian_x0020_Translation,Choice,,aviva.oneintranet.solution.web.wsp
D7EA8042-5EBD-46f5-AFCA-E2B792CF4953,Aviva Publishing Page Layouts Feature,{a4823fed-291f-41ad-ae84-691da79269a2},Spanish_x0020_Translation,Choice,,aviva.oneintranet.solution.web.wsp
D7EA8042-5EBD-46f5-AFCA-E2B792CF4953,Aviva Publishing Page Layouts Feature,{cbce7208-80b2-40e1-9891-64bb1e5a7297},Team_x0020_Hyperlink,URL,,aviva.oneintranet.solution.web.wsp
D7EA8042-5EBD-46f5-AFCA-E2B792CF4953,Aviva Publishing Page Layouts Feature,{e47da757-3c96-4adf-853a-2188698d97ac},BlogURL,Link,,aviva.oneintranet.solution.web.wsp
D7EA8042-5EBD-46f5-AFCA-E2B792CF4953,Aviva Publishing Page Layouts Feature,{4F5A546A-3A27-4f78-84E8-9C450FB3E7EC},ArticleUrl,Note,,aviva.oneintranet.solution.web.wsp
D7EA8042-5EBD-46f5-AFCA-E2B792CF4953,Aviva Publishing Page Layouts Feature,{EBFE9271-C1C8-4fea-A358-04EAD0CD934B},DiscussionBody,Note,,aviva.oneintranet.solution.web.wsp
D7EA8042-5EBD-46f5-AFCA-E2B792CF4953,Aviva Publishing Page Layouts Feature,{10C3D125-4E4F-4B01-A607-B4C7B04C024E},EnableRatings,Boolean,,aviva.oneintranet.solution.web.wsp
D7EA8042-5EBD-46f5-AFCA-E2B792CF4953,Aviva Publishing Page Layouts Feature,{cb91ce54-a8ab-49d6-83b6-598f6133cebc},AdvertBody,HTML,,aviva.oneintranet.solution.web.wsp
D7EA8042-5EBD-46f5-AFCA-E2B792CF4953,Aviva Publishing Page Layouts Feature,{A0DB3A7A-3840-40b9-8820-78A0F883F427},DiscussionCreatedEmail,Text,,aviva.oneintranet.solution.web.wsp
D7EA8042-5EBD-46f5-AFCA-E2B792CF4953,Aviva Publishing Page Layouts Feature,{F1C2271D-D663-4395-926B-F554FD3CF95D},DiscussionCreatedAccount,Text,,aviva.oneintranet.solution.web.wsp
D7EA8042-5EBD-46f5-AFCA-E2B792CF4953,Aviva Publishing Page Layouts Feature,{69d6de41-9449-4893-a727-23d7298cef9d},LinkImage,URL,,aviva.oneintranet.solution.web.wsp
D7EA8042-5EBD-46f5-AFCA-E2B792CF4953,Aviva Publishing Page Layouts Feature,{eeb2adeb-3963-4af2-b760-4734bba4496d},Article_x0020_Date_x0020_and_x0020_Time,DateTime,,aviva.oneintranet.solution.web.wsp
D7EA8042-5EBD-46f5-AFCA-E2B792CF4953,Aviva Publishing Page Layouts Feature,{886D7821-36E9-45f7-8905-92FF707CEF43},Pinned,Boolean,,aviva.oneintranet.solution.web.wsp
{4EBF6325-ABE7-4097-847E-FC3263F8EDC1},"$Resources:VideoRibbon,videoplayer_featurename",{AFB7BCC9-B6C2-44C4-9A09-ADE226BA9DF8},AvivaVideoUrl,Text,,aviva.oneintranet.solution.web.wsp
{4EBF6325-ABE7-4097-847E-FC3263F8EDC1},"$Resources:VideoRibbon,videoplayer_featurename",{2908D570-A26F-44A0-9685-BE68F751A87E},AvivaPlaylist,Note,,aviva.oneintranet.solution.web.wsp
{4EBF6325-ABE7-4097-847E-FC3263F8EDC1},"$Resources:VideoRibbon,videoplayer_featurename",{7582B3F8-0A72-46C3-809C-5EF92A417467},AvivaPosterImageUrl,Text,,aviva.oneintranet.solution.web.wsp
{4EBF6325-ABE7-4097-847E-FC3263F8EDC1},"$Resources:VideoRibbon,videoplayer_featurename",{27BA14CE-B55E-45F1-9D02-2578F12B2AE1},AvivaVideoWidth,Number,,aviva.oneintranet.solution.web.wsp
{4EBF6325-ABE7-4097-847E-FC3263F8EDC1},"$Resources:VideoRibbon,videoplayer_featurename",{EE72089F-D75A-4589-9EFF-00E98033A6DD},AvivaVideoHeight,Number,,aviva.oneintranet.solution.web.wsp
{4EBF6325-ABE7-4097-847E-FC3263F8EDC1},"$Resources:VideoRibbon,videoplayer_featurename",{EDEC84BF-E82B-4AD1-A373-ABDAEED4E089},AvivaVideoTranscript,HTML,,aviva.oneintranet.solution.web.wsp
{4EBF6325-ABE7-4097-847E-FC3263F8EDC1},"$Resources:VideoRibbon,videoplayer_featurename",{4BFAE4CF-F031-4CFE-A2C9-0D509168BA75},AvivaVideoDescription,HTML,,aviva.oneintranet.solution.web.wsp
{4EBF6325-ABE7-4097-847E-FC3263F8EDC1},"$Resources:VideoRibbon,videoplayer_featurename",{252934C9-0D10-431D-8228-53195CFB109A},EnableComments,Boolean,,aviva.oneintranet.solution.web.wsp
{4EBF6325-ABE7-4097-847E-FC3263F8EDC1},"$Resources:VideoRibbon,videoplayer_featurename",{D9AF6250-3592-4ACE-907D-30F59D6E7B4E},EnableRatings,Boolean,,aviva.oneintranet.solution.web.wsp
{4EBF6325-ABE7-4097-847E-FC3263F8EDC1},"$Resources:VideoRibbon,videoplayer_featurename",{CB7E471E-4B0E-4E85-A15D-1AB1A30F5C5A},VideoProductionDate,DateTime,,aviva.oneintranet.solution.web.wsp
{4EBF6325-ABE7-4097-847E-FC3263F8EDC1},"$Resources:VideoRibbon,videoplayer_featurename",{83057CCD-300E-4B21-A112-2942BDAD16A5},VideoProducer,User,,aviva.oneintranet.solution.web.wsp
{4EBF6325-ABE7-4097-847E-FC3263F8EDC1},"$Resources:VideoRibbon,videoplayer_featurename",{C9E7ADCD-82F0-445A-A4D0-BEA429152E2F},VideoPresenter,User,,aviva.oneintranet.solution.web.wsp
{4EBF6325-ABE7-4097-847E-FC3263F8EDC1},"$Resources:VideoRibbon,videoplayer_featurename",{0228A22E-D9AD-4BC2-BE9F-7726256557AD},VideoKeywords,Note,,aviva.oneintranet.solution.web.wsp
9f372db0-fa25-4c59-bd73-39862db2fcd9,Contoso.ContentType Feature,{060E50AC-E9C1-4D3C-B1F9-DE0BCAC300F6},Amount,Currency,,contoso.contenttype.wsp
9f372db0-fa25-4c59-bd73-39862db2fcd9,Contoso.ContentType Feature,{86811853-7E52-4515-A88D-A8FA9D450905},Client,Text,,contoso.contenttype.wsp
9f372db0-fa25-4c59-bd73-39862db2fcd9,Contoso.ContentType Feature,{1511BF28-A787-4061-B2E1-71F64CC93FD5},DateOpened,DateTime,,contoso.contenttype.wsp
9f372db0-fa25-4c59-bd73-39862db2fcd9,Contoso.ContentType Feature,{943E7530-5E2B-4C02-8259-CCD93A9ECB18},CostCenter,Choice,,contoso.contenttype.wsp
9f372db0-fa25-4c59-bd73-39862db2fcd9,Contoso.ContentType Feature,{29338c02-2ab4-415a-a863-a3c017f86b0f},PersonalSex,Choice,,contoso.contenttype.wsp
9f372db0-fa25-4c59-bd73-39862db2fcd9,Contoso.ContentType Feature,{b47cd6ea-dc16-45b4-a57a-4382215aeaa5},CustomOverWrite1,Text,,contoso.contenttype.wsp
9f372db0-fa25-4c59-bd73-39862db2fcd9,Contoso.ContentType Feature,{e51255de-2288-46b6-ab98-0d03a1b770a5},CustomOverWrite2,Text,,contoso.contenttype.wsp
7e2ab32f-6903-44b9-affc-8f31360bfbbb,Contoso.Intranet - Site Default Publishing,{8478039d-fbd5-421d-bd6c-87a07d7ce499},ContosoStatus,Choice,,contoso.intranet.wsp
a3fed161-004e-4a9c-bb07-1966f27f2cab,Contoso.Intranet - Site Default,{8478039d-fbd5-421d-bd6c-87a07d7ce499},ContosoStatus,Choice,,contoso.intranet.wsp
5d6bc4d7-16bf-4e9a-9006-cfd14b9f27fb,CTFromFTC Feature1,{bb8600e6-b623-486b-a6bb-98e0d1f1fe43},SCFTC1,Text,,ctfromftc.wsp
fb154ba8-16ec-40f6-b77b-905d9d5d9cbc,CTSCAnalysisForPMT Feature1,{595bddd6-1c5a-4157-8548-fb9899a0414b},SC1,Text,,ctscanalysisforpmt.wsp
fb154ba8-16ec-40f6-b77b-905d9d5d9cbc,CTSCAnalysisForPMT Feature1,{50651fe1-8a1c-47d4-a523-bfb81e30e3fd},SC2,Text,,ctscanalysisforpmt.wsp
fb154ba8-16ec-40f6-b77b-905d9d5d9cbc,CTSCAnalysisForPMT Feature1,{b4152ed6-81af-483d-ad6f-d342c20bea56},SC3,Text,,ctscanalysisforpmt.wsp
fb154ba8-16ec-40f6-b77b-905d9d5d9cbc,CTSCAnalysisForPMT Feature1,{160ce688-507f-42e7-9b4e-dd27ed389a37},SCFirstName,Text,,ctscanalysisforpmt.wsp
fb154ba8-16ec-40f6-b77b-905d9d5d9cbc,CTSCAnalysisForPMT Feature1,{e38b954f-a856-430a-9507-ed183d436510},SCMiddleName,Text,,ctscanalysisforpmt.wsp
fb154ba8-16ec-40f6-b77b-905d9d5d9cbc,CTSCAnalysisForPMT Feature1,{9fc1d6cd-be0d-4eb3-a6d5-4ec6ffd6f4ae},SCLastName,Text,,ctscanalysisforpmt.wsp
2135e033-71b2-40d6-a53f-2ce916c7ab67,CustomField Feature1,{16e0468d-5cce-4464-8268-836eaa6735c7},WSP_SiteColumn1,FavoriteColorField,,customfield.wsp
2135e033-71b2-40d6-a53f-2ce916c7ab67,CustomField Feature1,{d6b26329-3064-45ca-a917-bc070179e0b9},WSP_SiteColumn2,Text,,customfield.wsp
48e86892-0ec3-4710-b061-26c21702ec21,CustomNewField Feature1,{44f14db3-af04-435f-a644-1f1cbef240be},field2SiteColumn,field2,,customnewfield.wsp
32ccfe5b-e2ff-43e1-a66c-ede7c995250a,CustomSiteColumnandContentType Feature1,{04075803-9b10-4c44-9c88-d5c365e1f563},NoOfEmployees,Text,,customsitecolumnandcontenttype.wsp
32ccfe5b-e2ff-43e1-a66c-ede7c995250a,CustomSiteColumnandContentType Feature1,{d99d3693-c99e-40c7-bfa2-e5c4e8b0d913},DepartmentName,Text,,customsitecolumnandcontenttype.wsp
3d059f90-32bb-4b76-8806-199406df9595,DiscPLTest Feature1,{f4dba528-4324-4dd9-a89c-baf965977bd9},PLAuthor,Text,,discpltest.wsp
3d059f90-32bb-4b76-8806-199406df9595,DiscPLTest Feature1,{e5d103e9-27bd-417e-a2e2-b3d1a4ba99eb},PLBody,Note,,discpltest.wsp
0a489b2b-0b0e-4810-93a7-b5bceb810561,DivCustomFieldType2Feature1,{4dc28099-41ce-4a49-affe-68e8c0789ecb},DivTestCustomSiteColumnCFT,DivTestFileType,,divcustomfieldtype2.wsp
0a489b2b-0b0e-4810-93a7-b5bceb810561,DivCustomFieldType2Feature1,{1854723a-5d37-43d7-b674-633f0390d931},DivTestCustomSiteColumnOBFT,Text,,divcustomfieldtype2.wsp
c7daf4ff-358b-4679-a55a-d5308144ec29,DivSampleProject Feature1,{5744d18c-305e-4632-8bd1-09d134f4830d},DivField,Div,,divsampleproject.wsp
c7daf4ff-358b-4679-a55a-d5308144ec29,DivSampleProject Feature1,{76ab6d1c-9532-4966-ad66-441adadacbd8},DivSampleSiteColumnCFT,Div,,divsampleproject.wsp
c7daf4ff-358b-4679-a55a-d5308144ec29,DivSampleProject Feature1,{d11c53e5-2af0-4913-a6f8-d30bffad0a9f},DivSampleSiteColumnOBCF,Text,,divsampleproject.wsp
6633bed0-6d85-4517-bdae-71c0f556b2e4,ERCT Feature1,{432d57cb-590a-4362-a280-ce0c5b6a0b66},SC1,Text,,erct.wsp
6633bed0-6d85-4517-bdae-71c0f556b2e4,ERCT Feature1,{69d81e44-07fe-4217-895f-bb112ae30d5e},SC2,Text,,erct.wsp
b4c43ac2-b9b9-460e-8037-be7afd49cb14,EvalPageLayoutFeature,{18e1eb42-70bb-4f5f-ab76-58a4e5388287},Article Body,Note,,evallabproject.wsp
b4c43ac2-b9b9-460e-8037-be7afd49cb14,EvalPageLayoutFeature,{14462516-e826-4ecd-ace9-d2262133b27a},Article Tags,MultiChoice,,evallabproject.wsp
b4c43ac2-b9b9-460e-8037-be7afd49cb14,EvalPageLayoutFeature,{dfb99c5e-9578-43c5-abbd-1f89572bf2e7},Article Author,Text,,evallabproject.wsp
a8a71fdb-fc09-4003-98ed-c7f39fa0230a,FeatureFTCSBTest Feature1,{d919be47-32b3-4e29-acb8-f76883aaba6b},FTCSBSiteColumn,Text,,featureftcsbtest.wsp
c7401bb0-bfc1-4a19-b7b1-775480f98d96,FTCContentType Feature1,{5f13d11c-3567-4d46-8c15-0b0156b10a4c},FTCSCOne,Text,,ftccontenttype.wsp
4e9378ef-5784-498f-9709-2df2e3b7bdb5,FTCCTandSC Feature1,{ed8d8d7d-ca0f-450e-bf85-66fd1a34d06d},FTCSC28,Text,,ftcctandsc.wsp
4e9378ef-5784-498f-9709-2df2e3b7bdb5,FTCCTandSC Feature1,{689d2514-7db9-40d2-9ce7-fb46d7b04703},FTCSC29,Text,,ftcctandsc.wsp
6c5042b1-3e35-4c9f-a379-8e10268803bc,FTCCTSC Feature1,{0998d576-4b7a-4584-91b5-b3772c370571},FTCSC1,Text,,ftcctsc.wsp
6c5042b1-3e35-4c9f-a379-8e10268803bc,FTCCTSC Feature1,{851cb946-e716-43cb-831c-c8c729a6331f},FTCSC2,Text,,ftcctsc.wsp
ad1e0c96-2b90-4ab8-8acd-98e3075a0c23,FTCDocumentSet Feature1,{ee562308-d602-4c39-be23-a8b36d55b126},SCSummary,Text,,ftcdocumentset.wsp
ad1e0c96-2b90-4ab8-8acd-98e3075a0c23,FTCDocumentSet Feature1,{8ddac86a-4e0a-408a-a93f-81bfdc8d0b5a},SCEventReceiverStatus,Text,,ftcdocumentset.wsp
ad1e0c96-2b90-4ab8-8acd-98e3075a0c23,FTCDocumentSet Feature1,{f1ec32e4-7778-4dc7-8d5c-996e626c2594},SCOOBCTExt,Text,,ftcdocumentset.wsp
34726d5b-e047-49dd-a56f-64a59f824683,FTCMasterPageOne RashCustomMasterPage,{fe66c8b7-f8e9-4b95-8343-f35a7429711f},FTCScanSitecolumn,Text,,ftcmasterpageone.wsp
4204894e-cdb0-4a95-b8ae-3c110b63675e,FTCSCCTList Feature1,{8029f1ba-f4d5-4e09-9981-f6bde8d432ef},EvalSC,Text,,ftcscctlist.wsp
1d5c51dd-6c30-4ad2-839f-b37f83e4ad2a,FTCSiteColumn Feature1,{f99cb39c-a668-4e51-b832-d119f2d7dbb3},SiteColumnTesting,Text,,ftcsitecolumn.wsp
91c431c2-6ca5-44c2-9b7c-f5ffc41b4554,ISBN_Field_Type Feature1,{26894841-0a62-4bea-a96c-f67819acc4e4},BookNumber,ISBN,,isbn_field_type.wsp
91c431c2-6ca5-44c2-9b7c-f5ffc41b4554,ISBN_Field_Type Feature1,{5aac74fe-6bbf-40c0-bc18-ed86a8db95d0},BookName,Text,,isbn_field_type.wsp
c5d7418c-a196-4ee7-8024-576607726854,"$Resources:NewsGatorWSS,FeatureTitle_Columns;",{A4C9CC94-CA66-4A8D-8724-32C3DE179E90},Votes,NGTotalVotes,,newsgator.core.wsp
c5d7418c-a196-4ee7-8024-576607726854,"$Resources:NewsGatorWSS,FeatureTitle_Columns;",{D4C1BCA7-783F-4312-94CF-C036CF1DD888},NewsGator Comments,NGTotalComments,,newsgator.core.wsp
c5d7418c-a196-4ee7-8024-576607726854,"$Resources:NewsGatorWSS,FeatureTitle_Columns;",{646B1A60-7CB3-4C67-B27A-81CF8E7FACCE},NGOnBehalfOf,User,,newsgator.core.wsp
c5d7418c-a196-4ee7-8024-576607726854,"$Resources:NewsGatorWSS,FeatureTitle_Columns;",{6B2BE259-394D-4C76-9C2D-40BEBED9CAB5},NGDraftCategory,Text,,newsgator.core.wsp
c5d7418c-a196-4ee7-8024-576607726854,"$Resources:NewsGatorWSS,FeatureTitle_Columns;",{B4BE882A-DAA0-43C3-8281-768BF02FC5BB},NGPublishDate,DateTime,,newsgator.core.wsp
c5d7418c-a196-4ee7-8024-576607726854,"$Resources:NewsGatorWSS,FeatureTitle_Columns;",{49386758-7C1E-45CC-B567-8DF4E8C00E30},NGPublishedLink,URL,,newsgator.core.wsp
c5d7418c-a196-4ee7-8024-576607726854,"$Resources:NewsGatorWSS,FeatureTitle_Columns;",{A5E7A506-79E8-4AF9-92F8-032B6DB700C2},NGIsQuestion,Boolean,,newsgator.core.wsp
c5d7418c-a196-4ee7-8024-576607726854,"$Resources:NewsGatorWSS,FeatureTitle_Columns;",{89CB4280-D834-4B2C-9B6C-EC4386132B2B},NGIsAnswered,Boolean,,newsgator.core.wsp
c5d7418c-a196-4ee7-8024-576607726854,"$Resources:NewsGatorWSS,FeatureTitle_Columns;",{AEF9EC40-AFCF-4909-8D74-A511C9AD6EDC},NGIsAnswer,Boolean,,newsgator.core.wsp
3732f402-de0e-4cfa-91d3-055dec3cb94e,Tag Note Column HIDDEN,{E7807F2A-EA4C-4D78-AB9E-6F1EC558DCD0},"$Resources:NewsGatorWSS,Fields_TagNotesName;",NGTagNote,,newsgator.core.wsp
80BF3218-7353-11DF-AF9F-058BDFD72085,"$Resources:NWResource,InfoPathFeature_Title;",{759ADD9E-7360-11DF-B6A5-6E9ADFD72085},NWFormUrl,Note,,nintexworkflow2013.wsp
86C83D16-605D-41b4-BFDD-C75947899AC7,Nintex Workflow Content Type Upgrade,{F9C2546C-F40B-46d5-8BAC-9AB11CC7D640},MultiOutcomeTaskInfo,Note,,nintexworkflow2013.wsp
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",{CABA3010-7526-43c2-B05F-786037B1DCDF},HumanWorkflowID,Integer,,nintexworkflow2013.wsp
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",{9CF1474E-C190-4d8d-AD6E-E26CBCBD587B},ApproverTaskID,Integer,,nintexworkflow2013.wsp
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",{1E39A08D-5F96-494b-AD5A-9096A323B1DA},DatabaseID,Integer,,nintexworkflow2013.wsp
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",{819E6CF2-36C3-4013-8AEF-C99712C26036},ApproverComments,Note,,nintexworkflow2013.wsp
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",{6765859B-8902-469f-A8B6-FAA121304602},ApprovalOutcome,Integer,,nintexworkflow2013.wsp
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",{A7AE99D0-E5DF-47f4-9D75-560E3F608006},Decision,Integer,,nintexworkflow2013.wsp
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",{bb2af572-4d2c-4780-9bb9-a7cd8106e874},NintexWorkflowID,Text,,nintexworkflow2013.wsp
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",{D97C0A58-77FD-48cf-8A7A-9FFDFDD11A6E},NintexWorkflowDescription,Text,,nintexworkflow2013.wsp
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",{CA9E1FEB-0014-46b0-87C8-08FB9E2FE003},AssociatedListID,Text,,nintexworkflow2013.wsp
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",{1D5AFADD-D013-4d88-B3B2-38B570DA9B6F},NWAssociatedWebID,Text,,nintexworkflow2013.wsp
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",{7F3814A0-6EF1-4856-BF1D-1A06F8437DC4},WorkflowPartId,Text,,nintexworkflow2013.wsp
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",{607EC2F6-48EB-4a14-9E1E-BC48043E157E},WorkflowPartDescription,Text,,nintexworkflow2013.wsp
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",{6ABEAA08-87C5-4385-9C81-39CBB72F99A6},TemplateCategory,Text,,nintexworkflow2013.wsp
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",{837C2B97-E338-446d-A993-C96FD0C4B5D7},TemplateLcid,Integer,,nintexworkflow2013.wsp
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",{CACA9759-3B72-4BF1-8927-7E101337ECF1},WaitingMessageId,Note,,nintexworkflow2013.wsp
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",{CB2EAE1E-CAB5-44DC-A9DC-84641EB2ADA6},Xsd,Note,,nintexworkflow2013.wsp
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",{BE604058-3251-4088-AAD6-E702C4FF1905},MessageData,Note,,nintexworkflow2013.wsp
80BF3218-7353-11DF-AF9F-058BDFD72085,"$Resources:NWResource,InfoPathFeature_Title;",{759ADD9E-7360-11DF-B6A5-6E9ADFD72085},NWFormUrl,Note,,nintexworkflow2013backwardscompatibilityui.wsp
86C83D16-605D-41b4-BFDD-C75947899AC7,Nintex Workflow Content Type Upgrade,{F9C2546C-F40B-46d5-8BAC-9AB11CC7D640},MultiOutcomeTaskInfo,Note,,nintexworkflow2013backwardscompatibilityui.wsp
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",{C2DD77C1-89A4-4f1f-B037-C17407E9922C},WorkflowTaskID,Integer,,nintexworkflow2013backwardscompatibilityui.wsp
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",{CABA3010-7526-43c2-B05F-786037B1DCDF},HumanWorkflowID,Integer,,nintexworkflow2013backwardscompatibilityui.wsp
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",{9CF1474E-C190-4d8d-AD6E-E26CBCBD587B},ApproverTaskID,Integer,,nintexworkflow2013backwardscompatibilityui.wsp
