ContentDatabase,SiteCollection,SiteCollectionOwner,SiteTemplateGalleryPath,SiteTemplateID,SiteTemplateName,SolutionName,WebApplication,WebUrl
Portal_Content_01,https://intranet.poc.com/sites/delVidhiTest2,N/A,sites/delVidhiTest2/_catalogs/solutions,012f2bdb-2677-4dff-91f8-7982cd3e7305,delVidhiTest2CTSiteTemplate.wsp,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/delVidhiTest2
Portal_Content_01,https://intranet.poc.com/sites/SudhaTeam2,N/A,sites/SudhaTeam2/_catalogs/solutions,791d5f83-dfcb-403e-a59b-41f98d3ff525,CTSiteTemplateSudhaTeam2.wsp,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/SudhaTeam2
Portal_Content_01,https://intranet.poc.com/sites/SudhaTeam2,N/A,sites/SudhaTeam2/_catalogs/solutions,780ce750-4b16-41dd-964f-e3c3dfafb4be,SudhaTestingSiteTemplate.wsp,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/SudhaTeam2
Portal_Content_01,https://intranet.poc.com/sites/DiscoveryTool,N/A,sites/DiscoveryTool/_catalogs/solutions,0dcd5145-44b4-4f34-874f-16827bdf5dd8,gud.wsp,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/DiscoveryTool
Portal_Content_01,https://intranet.poc.com/sites/DiscoveryTool,N/A,sites/DiscoveryTool/_catalogs/solutions,7028b688-183b-410f-a91a-f2c983e64d5b,SITTEMP1.wsp,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/DiscoveryTool
Portal_Content_01,https://intranet.poc.com/sites/DiscoveryTool,N/A,sites/DiscoveryTool/_catalogs/solutions,da1eab1a-d198-4c46-bd45-2e5c39058637,TSR1.wsp,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/DiscoveryTool
Portal_Content_01,https://intranet.poc.com/sites/DiscoveryTool,N/A,sites/DiscoveryTool/_catalogs/solutions,e9a99237-112a-4739-99bd-bd59e422b344,tvs.wsp,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/DiscoveryTool
Portal_Content_01,https://intranet.poc.com/sites/div,N/A,sites/div/_catalogs/solutions,aa17b674-5fea-4e5f-b6d4-436be31745ee,divCTSiteTemplate.wsp,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/div
Portal_Content_01,https://intranet.poc.com/sites/delSite2,N/A,sites/delSite2/_catalogs/solutions,2ed60a9f-3654-408b-90ea-4615c57902a5,STTestOne.wsp,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/delSite2
Portal_Content_01,https://intranet.poc.com/sites/TestContosoTeamSite,N/A,sites/TestContosoTeamSite/_catalogs/solutions,67d3e954-1977-4033-86b2-3f309e25212a,Project Site Template v2.1.wsp,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/TestContosoTeamSite
Portal_Content_01,https://intranet.poc.com/sites/vidhiTest10,N/A,sites/vidhiTest10/_catalogs/solutions,140923c5-c6b7-44a6-9a06-e19082906569,STTestFour.wsp,N/A,https://intranet.poc.com/,https://intranet.poc.com/sites/vidhiTest10
