FeatureID,FeatureName,SolutionName,FeatureScope
EBD86520-DDCB-45CF-BD73-DC8C5B7BE022,Aviva Search Site Configuration,aviva.oneintranet.solution.web.wsp,Web
7D93598C-1D8C-4275-9607-965ED76FCFE3,Aviva SharePrice DataReceiver TimerJob,aviva.oneintranet.solution.web.wsp,WebApplication
59D46873-DE57-4271-BB48-64809B17EAC4,$Resources:FeatureName,aviva.oneintranet.solution.web.wsp,Site
04C66A75-AA28-4067-932D-AFEF67196D39,$Resources:FeatureName,aviva.oneintranet.solution.web.wsp,Site
828A6EDD-0AE3-415e-B4DC-C315635FE74D,$Resources:FeatureName,aviva.oneintranet.solution.web.wsp,Web
311BB1E2-9E8C-485d-B869-84451380259F,$Resources:FeatureName,aviva.oneintranet.solution.web.wsp,Web
FF692CEA-8AE4-45b1-8397-006514306C4B,$Resources:FeatureName,aviva.oneintranet.solution.web.wsp,Site
57DD0C0F-7506-4566-AED0-629764F9B9F4,Aviva Update MasterPage,aviva.oneintranet.solution.web.wsp,Site
06d77b33-76b2-4a14-bef4-3e4b4203d88e,$Resources:FeatureName,aviva.oneintranet.solution.web.wsp,Site
A10279AD-22A1-47a3-8390-7A52BC4E022C,$Resources:FeatureName,aviva.oneintranet.solution.web.wsp,Site
{4EBF6325-ABE7-4097-847E-FC3263F8EDC1},"$Resources:VideoRibbon,videoplayer_featurename",aviva.oneintranet.solution.web.wsp,Site
{073C4E60-6D38-42A7-83FE-C27A230A3747},Aviva Video Ribbon,aviva.oneintranet.solution.web.wsp,Site
{86EE9185-85B6-4DBD-960C-5CAC92850092},"$Resources:VideoRibbon,videowebpart_featurename;",aviva.oneintranet.solution.web.wsp,Site
BBA20869-D4A8-4bf4-9628-1F09FA9B5F00,Aviva OneIntranet : Web.Config Modifications,aviva.oneintranet.solution.web.wsp,WebApplication
07553601-c9a8-4ba1-a620-06408c656eef,Aviva OneIntranet : Web.Config Modifications for My Sites,aviva.oneintranet.solution.web.wsp,WebApplication
FD63B58E-1182-46c4-903F-0006229141E7,$Resources:FeatureName,aviva.oneintranet.solution.web.wsp,Site
00BFEA71-1C5E-4A24-B310-BA51C3EB7A58,$Resources:FeatureName,aviva.oneintranet.solution.web.wsp,Site
DA2175EB-CB68-45d3-9ED9-1F8092A01E01,$Resources:FeatureName,aviva.oneintranet.solution.web.wsp,Site
A249FB3B-9526-4510-AF1C-8E12ED9A0622,Aviva You Are Here,aviva.oneintranet.solution.web.wsp,Site
7908835E-B08E-415F-A14C-BD7C94EFD404,Aviva Search With People Scope,aviva.oneintranet.solution.web.wsp,WebApplication
9b705f18-e2bc-4e59-aa0e-218dd1b86a45,BlockAddingSBSol Feature1,blockaddingsbsol.wsp,Site
4b7028f1-999d-458c-a551-e680c2d2a540,ContentTypeEventReceiver Feature1,contenttypeeventreceiver.wsp,Web
68458954-c00b-436f-99dd-9c8b6dec97b1,ContentTypeUsageTesting Feature1,contenttypeusagetesting.wsp,Web
9f372db0-fa25-4c59-bd73-39862db2fcd9,Contoso.ContentType Feature,contoso.contenttype.wsp,Site
7435ae5c-91b5-4f0e-8c96-de5e77207e9c,Contoso.ContentType Test Blank,contoso.contenttype.wsp,WebApplication
ac1d0639-b16c-46d8-beb9-e1c3645af5ae,Contoso.EventReceiver,contoso.contenttype.wsp,Web
6c966619-5d5c-400c-b193-396b5238aee3,Contoso.DeployFiles,contoso.deployfiles.wsp,Site
53a719c7-6766-4bba-bf89-a5789ea2360a,Contoso.Intranet - Farm Default,contoso.intranet.wsp,Farm
7e2ab32f-6903-44b9-affc-8f31360bfbbb,Contoso.Intranet - Site Default Publishing,contoso.intranet.wsp,Site
a3fed161-004e-4a9c-bb07-1966f27f2cab,Contoso.Intranet - Site Default,contoso.intranet.wsp,Site
c2f9c992-99b0-4ee7-8e48-5d9949e77d3d,Contoso.Intranet - Web Default,contoso.intranet.wsp,Web
02464339-e494-4257-8018-403b5a4371d9,Contoso.Intranet - Web Default Publishing,contoso.intranet.wsp,Web
ca596be2-ef4a-48c1-8467-9f59124f7ed9,Contoso.WebPart2 Feature1,contoso.webpart2.wsp,Site
825bf18e-0efe-4b70-946b-a06bcef1dff3,CreateCustomPolicies - Declaratively create content types with Policies,createcustompolicies.wsp,Site
154b106b-c811-4595-b3cf-245060b884f7,CTDemo Feature1,ctdemo.wsp,Web
8b664241-21e9-44ce-bcae-e772fcb4ccb5,EvalEventReceiverFeature,cteventereceiver.wsp,Web
5d6bc4d7-16bf-4e9a-9006-cfd14b9f27fb,CTFromFTC Feature1,ctfromftc.wsp,Web
fb154ba8-16ec-40f6-b77b-905d9d5d9cbc,CTSCAnalysisForPMT Feature1,ctscanalysisforpmt.wsp,Site
e80e232c-7b1a-4b6e-bad4-4bf62664cdd5,CustomAspxPages Feature1,customaspxpages.wsp,Web
22a32747-dde1-4814-8b1d-e23709d17c83,CustomCTVS Feature1,customctvs.wsp,Web
4a066dc6-1bee-4a07-bb13-46781558d994,CustomEventReceiverOne itemAddedER,customeventreceiverone.wsp,Site
2eb75b1e-e869-4664-9f0b-4088cc2f7a3b,CustomEventReceivers Feature1,customeventreceivers.wsp,Web
b9fa9670-fd6a-40c7-be4b-0b55866a97a2,CustomEventReceiverTest Feature1,customeventreceivertest.wsp,Web
728cd1d5-c22f-4060-984d-d38207152c68,CustomEventReceiverThree Feature1,customeventreceiverthree.wsp,Web
