ContentDatabase,CustomMasterLeafName,CustomMasterUrl,CustomMasterUrlStatus,MasterLeafName,MasterUrl,MasterUrlStatus,SiteCollection,SiteCollectionOwner,SolutionName,WebApplication,WebUrl
PPE_AppsManagementSite_content_01,contoso.master,/sites/TestContosoPublishingSite/_catalogs/masterpage/contoso.master,true,oslo.master,/sites/TestContosoPublishingSite/_catalogs/masterpage/oslo.master,false,http://001d-cam-tap01:8899/sites/TestContosoPublishingSite,N/A,@CustomMaster: contoso.intranet.wsp,http://001d-cam-tap01:8899/,http://001d-cam-tap01:8899/sites/TestContosoPublishingSite
Portal_Content_01,oslo.master,/sites/AnubhavPublishing/_catalogs/masterpage/oslo.master,false,contoso.master,/sites/AnubhavPublishing/_catalogs/masterpage/contoso.master,true,https://intranet.poc.com/sites/AnubhavPublishing,N/A,@Master :contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/AnubhavPublishing/Pub1
Portal_Content_01,oslo.master,/sites/ConstosoTemplate1/_catalogs/masterpage/oslo.master,false,contoso.master,/sites/ConstosoTemplate1/_catalogs/masterpage/contoso.master,true,https://intranet.poc.com/sites/ConstosoTemplate1,N/A,@Master :contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/ConstosoTemplate1
Portal_Content_01,contoso.master,/sites/DemoContosoPublishing/_catalogs/masterpage/contoso.master,true,seattle.master,/sites/DemoContosoPublishing/_catalogs/masterpage/seattle.master,false,https://intranet.poc.com/sites/DemoContosoPublishing,N/A,@CustomMaster: contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/DemoContosoPublishing
Portal_Content_01,seattle.master,/sites/dev2/_catalogs/masterpage/seattle.master,false,contoso-v4.master,/sites/dev2/_catalogs/masterpage/contoso-v4.master,true,https://intranet.poc.com/sites/dev2,N/A,@Master :contoso.oneintranet.solution.web.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/dev2
Portal_Content_01,seattle.master,/sites/DiscoveryTool/_catalogs/masterpage/seattle.master,false,contoso.master,/sites/DiscoveryTool/_catalogs/masterpage/contoso.master,true,https://intranet.poc.com/sites/DiscoveryTool,N/A,@Master :contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/DiscoveryTool
Portal_Content_01,contoso.master,/sites/GhostableContosoPublishingSite/_catalogs/masterpage/contoso.master,true,seattle.master,/sites/GhostableContosoPublishingSite/_catalogs/masterpage/seattle.master,false,https://intranet.poc.com/sites/GhostableContosoPublishingSite,N/A,@CustomMaster: contoso.intranet.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/GhostableContosoPublishingSite
