ContentDatabase,SiteCollection,SiteTemplateGalleryPath,SiteTemplateID,SiteTemplateName,WebApplication,WebUrl
Portal_Content_01,https://intranet.poc.com/sites/SudhaTeam2,sites/SudhaTeam2/_catalogs/solutions,791d5f83-dfcb-403e-a59b-41f98d3ff525,CTSiteTemplateSudhaTeam2.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/SudhaTeam2
Portal_Content_01,https://intranet.poc.com/sites/SudhaTeam2,sites/SudhaTeam2/_catalogs/solutions,780ce750-4b16-41dd-964f-e3c3dfafb4be,SudhaTestingSiteTemplate.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/SudhaTeam2
Portal_Content_01,https://intranet.poc.com/sites/DiscoveryTool,sites/DiscoveryTool/_catalogs/solutions,0dcd5145-44b4-4f34-874f-16827bdf5dd8,gud.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/DiscoveryTool
Portal_Content_01,https://intranet.poc.com/sites/DiscoveryTool,sites/DiscoveryTool/_catalogs/solutions,7028b688-183b-410f-a91a-f2c983e64d5b,SITTEMP1.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/DiscoveryTool
Portal_Content_01,https://intranet.poc.com/sites/DiscoveryTool,sites/DiscoveryTool/_catalogs/solutions,e9a99237-112a-4739-99bd-bd59e422b344,tvs.wsp,https://intranet.poc.com/,https://intranet.poc.com/sites/DiscoveryTool
