FeatureID,FeatureName,ContentTypeID,ContentTypeName,IsDocumentSetContentType,SolutionName
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",0x0108010079DBDE612F7B46928C6A2516BA2CAE37,"$Resources:NWResource,_ContentType_Task_Name;",False,nintexworkflow2013.wsp
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",0x010801005CC0A86910A24687A76ECAC954D3E3F3,"$Resources:NWResource,_ContentType_BizTalkTask_Name;",False,nintexworkflow2013.wsp
80BF3218-7353-11DF-AF9F-058BDFD72085,"$Resources:NWResource,InfoPathFeature_Title;",0x0108010079DBDE612F7B46928C6A2516BA2CAE3700E0B65C5281234030AA8CA4D8F8910E72,"$Resources:NWResource,InfoPathFeature_ContentType_NintexWorkflow_Name;",False,nintexworkflow2013backwardscompatibilityui.wsp
80BF3218-7353-11DF-AF9F-058BDFD72085,"$Resources:NWResource,InfoPathFeature_Title;",0x0108010064E42B14ADA442c78E98D686760A8493006EBD0FA4731041d9804386A7FEA568DC,"$Resources:NWResource,InfoPathFeature_ContentType_NintexWorkflowMultiOutcome_Name;",False,nintexworkflow2013backwardscompatibilityui.wsp
86C83D16-605D-41b4-BFDD-C75947899AC7,Nintex Workflow Content Type Upgrade,0x0108010064E42B14ADA442c78E98D686760A8493,"$Resources:NWResource,_ContentType_MultiOutcomeTask_Name;",False,nintexworkflow2013backwardscompatibilityui.wsp
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",0x01010024055591300C45c3B4C2854A24EF05CE,"$Resources:NWResource,_ContentType_Workflow_Name;",False,nintexworkflow2013backwardscompatibilityui.wsp
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",0x010100F815D979DC2B4f48A9DBCA64AED3C636,"$Resources:NWResource,_ContentType_Snippet_Name;",False,nintexworkflow2013backwardscompatibilityui.wsp
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",0x010100F8376F5313D041ef85718B229F4FBFA8,"$Resources:NWResource,_ContentType_Template_Name;",False,nintexworkflow2013backwardscompatibilityui.wsp
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",0x0108010079DBDE612F7B46928C6A2516BA2CAE37,"$Resources:NWResource,_ContentType_Task_Name;",False,nintexworkflow2013backwardscompatibilityui.wsp
0561D315-D5DB-4736-929E-26DA142812C5,"$Resources:NWResource,SiteCollectionFeature_Title;",0x010801005CC0A86910A24687A76ECAC954D3E3F3,"$Resources:NWResource,_ContentType_BizTalkTask_Name;",False,nintexworkflow2013backwardscompatibilityui.wsp
d065516b-b65f-4875-afb3-d1f8636b0fe4,PageLayoutDemo Feature,0x010100C568DB52D9D0A14D9B2FDCC96666E9F2007948130EC3DB064584E219954237AF39001A84C860EA954CE8B26B84D70CE9754C,EvalArticle,False,pagelayoutdemo.wsp
ff28a765-aba9-497d-8d55-eb992c1067bd,PMFTCContentTypeSiteColumn Feature1,0x010030E991C99016456791EAABDF246F0F85,PMFTCCT,False,pmftccontenttypesitecolumn.wsp
14461e40-77c2-47d3-bd71-5f658a70360e,PMTFTCSCAnalysis Feature1,0x01001545F3E9CDAA42048C02BE0F7E893376,FTCPMTName,False,pmtftcscanalysis.wsp
4731346e-8c0a-4c43-9285-be0d86f19eed,RashCTSC Feature1,0x0100FC21796D4D1E408EBF628BEED1015CC8,RCT,False,rashctsc.wsp
16555e60-c1f3-44c8-a138-4e66e3c2f165,RemCT Feature1,0x0100B6D6337DB4C14FE692E7D5C67481420F,CTWithSC2,False,remct.wsp
f0297d6e-0ed1-4c54-8e7f-79f2ac6cff49,Shell.SharePoint.SAEF Shell Content Types,0x0101006f0a470eeb1140e7aa14f4ce8a50b54c,Shell Document Base,False,shell.sharepoint.saef_v2.1.wsp
f0297d6e-0ed1-4c54-8e7f-79f2ac6cff49,Shell.SharePoint.SAEF Shell Content Types,0x0101006f0a470eeb1140e7aa14f4ce8a50b54c0001cb1477f4dd432aa86dd56cc3887af4,Shell Document,False,shell.sharepoint.saef_v2.1.wsp
f0297d6e-0ed1-4c54-8e7f-79f2ac6cff49,Shell.SharePoint.SAEF Shell Content Types,0x0120D5200049176bba64844954af26d8731d1d2aed,Shell Document Set,True,shell.sharepoint.saef_v2.1.wsp
f0297d6e-0ed1-4c54-8e7f-79f2ac6cff49,Shell.SharePoint.SAEF Shell Content Types,0x0101006f0a470eeb1140e7aa14f4ce8a50b54c00801fe173b6b5417882faec737ee3ba86,Shell Word Base,False,shell.sharepoint.saef_v2.1.wsp
f0297d6e-0ed1-4c54-8e7f-79f2ac6cff49,Shell.SharePoint.SAEF Shell Content Types,0x0101006f0a470eeb1140e7aa14f4ce8a50b54c0001cb1477f4dd432aa86dd56cc3887af400ed47a1d2b9e74caab3f0926777a2855e,Shell Word,False,shell.sharepoint.saef_v2.1.wsp
f0297d6e-0ed1-4c54-8e7f-79f2ac6cff49,Shell.SharePoint.SAEF Shell Content Types,0x0101006f0a470eeb1140e7aa14f4ce8a50b54c0066f1545ee2714feaa8fadfaafcee274d,Shell PowerPoint Base,False,shell.sharepoint.saef_v2.1.wsp
