ContentDatabase,ContentTypeDeleteTransactionId,ContentTypeID,CustomFieldId,CustomFieldInternalName,CustomFieldScope,CustomFieldTitle,CustomFieldType,FeatureID,FeatureName,isFromFeature,SiteCollection,SolutionId,SolutionName,Source,WebApplication,WebUrl
Portal_Content_01,0x,0xEAD67CB416DCB445A57A4382215AEAA5,{b47cd6ea-dc16-45b4-a57a-4382215aeaa5},CustomOverWrite1,sites/Contentype_Overwrite,Custom OverWrite 1,Text,9f372db0-fa25-4c59-bd73-39862db2fcd9,Contoso.ContentType Feature,True,https://intranet.poc.com/sites/Contentype_Overwrite,N/A,contoso.contenttype.wsp,RESULT-SET - Based on SQL (IsFromFeature=1),https://intranet.poc.com/,https://intranet.poc.com/sites/Contentype_Overwrite
Portal_Content_01,0x,0xDE5512E58822B646AB980D03A1B770A5,{e51255de-2288-46b6-ab98-0d03a1b770a5},CustomOverWrite2,sites/Contentype_Overwrite,Custom OverWrite 2,Text,9f372db0-fa25-4c59-bd73-39862db2fcd9,Contoso.ContentType Feature,True,https://intranet.poc.com/sites/Contentype_Overwrite,N/A,contoso.contenttype.wsp,RESULT-SET - Based on SQL (IsFromFeature=1),https://intranet.poc.com/,https://intranet.poc.com/sites/Contentype_Overwrite
Portal_Content_01,0x,0x9D037884D5FB1D42BD6C87A07D7CE499,{8478039d-fbd5-421d-bd6c-87a07d7ce499},ContosoStatus,,Contoso Status,Choice,7e2ab32f-6903-44b9-affc-8f31360bfbbb,Contoso.Intranet - Site Default Publishing,True,https://intranet.poc.com/,N/A,contoso.intranet.wsp,RESULT-SET - Based on SQL (IsFromFeature=1),https://intranet.poc.com/,https://intranet.poc.com/
Portal_Content_01,0x,0x9D037884D5FB1D42BD6C87A07D7CE499,{8478039d-fbd5-421d-bd6c-87a07d7ce499},ContosoStatus,sites/TestListContentType3,Contoso Status,Choice,7e2ab32f-6903-44b9-affc-8f31360bfbbb,Contoso.Intranet - Site Default Publishing,True,https://intranet.poc.com/sites/TestListContentType3,N/A,contoso.intranet.wsp,RESULT-SET - Based on SQL (IsFromFeature=1),https://intranet.poc.com/,https://intranet.poc.com/sites/TestListContentType3
Portal_Content_01,0x,0x9D037884D5FB1D42BD6C87A07D7CE499,{8478039d-fbd5-421d-bd6c-87a07d7ce499},ContosoStatus,,Contoso Status,Choice,a3fed161-004e-4a9c-bb07-1966f27f2cab,Contoso.Intranet - Site Default,True,https://intranet.poc.com/,N/A,contoso.intranet.wsp,RESULT-SET - Based on SQL (IsFromFeature=1),https://intranet.poc.com/,https://intranet.poc.com/
Portal_Content_01,0x,0x9D037884D5FB1D42BD6C87A07D7CE499,{8478039d-fbd5-421d-bd6c-87a07d7ce499},ContosoStatus,sites/TestListContentType3,Contoso Status,Choice,a3fed161-004e-4a9c-bb07-1966f27f2cab,Contoso.Intranet - Site Default,True,https://intranet.poc.com/sites/TestListContentType3,N/A,contoso.intranet.wsp,RESULT-SET - Based on SQL (IsFromFeature=1),https://intranet.poc.com/,https://intranet.poc.com/sites/TestListContentType3
Portal_Content_01,0x,0x7D8D8DED0FCA0E45BF8566FD1A34D06D,{ed8d8d7d-ca0f-450e-bf85-66fd1a34d06d},FTCSC28,sites/DiscoveryTool,FTCSC 28,Note,4e9378ef-5784-498f-9709-2df2e3b7bdb5,FTCCTandSC Feature1,True,https://intranet.poc.com/sites/DiscoveryTool,N/A,ftcctandsc.wsp,RESULT-SET - Based on SQL (IsFromFeature=1),https://intranet.poc.com/,https://intranet.poc.com/sites/DiscoveryTool
Portal_Content_01,0x,0x01F41B2BB7F2C640A6CE2A4A8EFD2120,{2b1bf401-f2b7-40c6-a6ce-2a4a8efd2120},SiteColumn10,sites/DiscoveryTool,Site Column 10,Note,6f21ec8f-e80b-4207-a5b1-5d767ae395c3,SiteColumnCTTesting Feature1,True,https://intranet.poc.com/sites/DiscoveryTool,N/A,sitecolumncttesting.wsp,RESULT-SET - Based on SQL (IsFromFeature=1),https://intranet.poc.com/,https://intranet.poc.com/sites/DiscoveryTool
Team_Content_New,0x,0x9D037884D5FB1D42BD6C87A07D7CE499,{8478039d-fbd5-421d-bd6c-87a07d7ce499},ContosoStatus,sites/DocSiteSC,Contoso Status,Choice,7e2ab32f-6903-44b9-affc-8f31360bfbbb,Contoso.Intranet - Site Default Publishing,True,https://teams.poc.com/sites/DocSiteSC,N/A,contoso.intranet.wsp,RESULT-SET - Based on SQL (IsFromFeature=1),https://teams.poc.com/,https://teams.poc.com/sites/DocSiteSC
Team_Content_New,0x,0x9D037884D5FB1D42BD6C87A07D7CE499,{8478039d-fbd5-421d-bd6c-87a07d7ce499},ContosoStatus,sites/DocSiteSC,Contoso Status,Choice,a3fed161-004e-4a9c-bb07-1966f27f2cab,Contoso.Intranet - Site Default,True,https://teams.poc.com/sites/DocSiteSC,N/A,contoso.intranet.wsp,RESULT-SET - Based on SQL (IsFromFeature=1),https://teams.poc.com/,https://teams.poc.com/sites/DocSiteSC
Team_Content_New,0x,0x03580704109B444C9C88D5C365E1F563,{04075803-9b10-4c44-9c88-d5c365e1f563},NoOfEmployees,sites/TestERVidhi,No Of Employees,Text,32ccfe5b-e2ff-43e1-a66c-ede7c995250a,CustomSiteColumnandContentType Feature1,True,https://teams.poc.com/sites/TestERVidhi,N/A,customsitecolumnandcontenttype.wsp,RESULT-SET - Based on SQL (IsFromFeature=1),https://teams.poc.com/,https://teams.poc.com/sites/TestERVidhi
Team_Content_New,0x,0x93369DD99EC9C740BFA2E5C4E8B0D913,{d99d3693-c99e-40c7-bfa2-e5c4e8b0d913},DepartmentName,sites/TestERVidhi,Department Name,Text,32ccfe5b-e2ff-43e1-a66c-ede7c995250a,CustomSiteColumnandContentType Feature1,True,https://teams.poc.com/sites/TestERVidhi,N/A,customsitecolumnandcontenttype.wsp,RESULT-SET - Based on SQL (IsFromFeature=1),https://teams.poc.com/,https://teams.poc.com/sites/TestERVidhi
Team_Content_New,0x,0x7D8D8DED0FCA0E45BF8566FD1A34D06D,{ed8d8d7d-ca0f-450e-bf85-66fd1a34d06d},FTCSC28,sites/TestERVidhi,FTCSC 28,Text,4e9378ef-5784-498f-9709-2df2e3b7bdb5,FTCCTandSC Feature1,True,https://teams.poc.com/sites/TestERVidhi,N/A,ftcctandsc.wsp,RESULT-SET - Based on SQL (IsFromFeature=1),https://teams.poc.com/,https://teams.poc.com/sites/TestERVidhi
Team_Content_New,0x,0x14259D68B97DD2409CE7FB46D7B04703,{689d2514-7db9-40d2-9ce7-fb46d7b04703},FTCSC29,sites/TestERVidhi,FTCSC 29,Text,4e9378ef-5784-498f-9709-2df2e3b7bdb5,FTCCTandSC Feature1,True,https://teams.poc.com/sites/TestERVidhi,N/A,ftcctandsc.wsp,RESULT-SET - Based on SQL (IsFromFeature=1),https://teams.poc.com/,https://teams.poc.com/sites/TestERVidhi
Team_Content_New,0x,0x76D598097A4B844591B5B3772C370571,{0998d576-4b7a-4584-91b5-b3772c370571},FTCSC1,sites/TestERVidhi,FTCSC 1,Text,6c5042b1-3e35-4c9f-a379-8e10268803bc,FTCCTSC Feature1,True,https://teams.poc.com/sites/TestERVidhi,N/A,ftcctsc.wsp,RESULT-SET - Based on SQL (IsFromFeature=1),https://teams.poc.com/,https://teams.poc.com/sites/TestERVidhi
Team_Content_New,0x,0x46B91C8516E7CB43831CC8C729A6331F,{851cb946-e716-43cb-831c-c8c729a6331f},FTCSC2,sites/TestERVidhi,FTCSC 2,Text,6c5042b1-3e35-4c9f-a379-8e10268803bc,FTCCTSC Feature1,True,https://teams.poc.com/sites/TestERVidhi,N/A,ftcctsc.wsp,RESULT-SET - Based on SQL (IsFromFeature=1),https://teams.poc.com/,https://teams.poc.com/sites/TestERVidhi
