ContentDatabase,Feature_TimeActivated,Feature_Version,FeatureId,FeatureTitle,Scope,SiteCollection,SiteCollectionOwner,SiteID,SolutionId,SolutionName,WebApplication,WebID,WebUrl
Portal_Content_01,5/5/2015 3:28:06 PM,0.0.0.0,073c4e60-6d38-42a7-83fe-c27a230a3747,Aviva Video Ribbon,Site,https://intranet.poc.com/sites/VK113055,N/A,91244468-c1ee-4f17-8e27-1a04d173af8d,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,5/5/2015 3:28:08 PM,0.0.0.0,4ebf6325-abe7-4097-847e-fc3263f8edc1,"$Resources:VideoRibbon,videoplayer_featurename",Site,https://intranet.poc.com/sites/VK113055,N/A,91244468-c1ee-4f17-8e27-1a04d173af8d,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,5/5/2015 3:28:30 PM,1.0.0.0,828a6edd-0ae3-415e-b4dc-c315635fe74d,$Resources:FeatureName,Web,https://intranet.poc.com/sites/VK113055,N/A,91244468-c1ee-4f17-8e27-1a04d173af8d,N/A,aviva.oneintranet.solution.web.wsp,https://intranet.poc.com/,d52370e9-ba2b-432c-b61e-261178c7b8d2,https://intranet.poc.com/sites/VK113055
Portal_Content_01,3/23/2015 8:07:37 PM,0.0.0.0,a3fed161-004e-4a9c-bb07-1966f27f2cab,Contoso.Intranet - Site Default,Site,https://intranet.poc.com/sites/ConstosoTemplate1,N/A,9b91c40d-b64e-4446-8de8-1bbbc43aa817,N/A,contoso.intranet.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,3/23/2015 8:07:50 PM,0.0.0.0,c2f9c992-99b0-4ee7-8e48-5d9949e77d3d,Contoso.Intranet - Web Default,Web,https://intranet.poc.com/sites/ConstosoTemplate1,N/A,9b91c40d-b64e-4446-8de8-1bbbc43aa817,N/A,contoso.intranet.wsp,https://intranet.poc.com/,781f4d3f-3cb8-4068-8ce4-ef72e9f04a2a,https://intranet.poc.com/sites/ConstosoTemplate1
Portal_Content_01,10/13/2014 11:55:45 PM,0.0.0.0,a3fed161-004e-4a9c-bb07-1966f27f2cab,Contoso.Intranet - Site Default,Site,https://intranet.poc.com/sites/TestTeamSiteParent2,N/A,3e5284b7-39d7-4605-b86d-21aa884c2886,N/A,contoso.intranet.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,10/14/2014 12:30:22 AM,0.0.0.0,9f372db0-fa25-4c59-bd73-39862db2fcd9,Contoso.ContentType Feature,Site,https://intranet.poc.com/sites/TestTeamSiteParent2,N/A,3e5284b7-39d7-4605-b86d-21aa884c2886,N/A,contoso.contenttype.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
Portal_Content_01,10/13/2014 11:55:59 PM,0.0.0.0,c2f9c992-99b0-4ee7-8e48-5d9949e77d3d,Contoso.Intranet - Web Default,Web,https://intranet.poc.com/sites/TestTeamSiteParent2,N/A,3e5284b7-39d7-4605-b86d-21aa884c2886,N/A,contoso.intranet.wsp,https://intranet.poc.com/,d482acf0-9d2d-47ef-a419-54d90536ab02,https://intranet.poc.com/sites/TestTeamSiteParent2
Portal_Content_01,8/27/2015 12:52:06 PM,0.0.0.0,32ccfe5b-e2ff-43e1-a66c-ede7c995250a,CustomSiteColumnandContentType Feature1,Web,https://intranet.poc.com/sites/testSite2,N/A,3a315a1f-5c08-449d-be31-27ba6151a38e,N/A,customsitecolumnandcontenttype.wsp,https://intranet.poc.com/,559628c8-9bcf-41d6-b79f-d245dd2a0999,https://intranet.poc.com/sites/testSite2
Portal_Content_01,3/20/2015 6:04:50 PM,0.0.0.0,a3fed161-004e-4a9c-bb07-1966f27f2cab,Contoso.Intranet - Site Default,Site,https://intranet.poc.com/sites/SudhaContosoTeamSite,N/A,c6660305-c9a2-4905-9f4b-29771a4d77d6,N/A,contoso.intranet.wsp,https://intranet.poc.com/,00000000-0000-0000-0000-000000000000,N/A
